Population	IID	Ancestry	pch	Color	PopName	bg
Adygei	HGDP01402	Europe	1	blue	Adygei	transparent
Adygei	HGDP01396	Europe	1	blue	Adygei	transparent
Adygei	HGDP01397	Europe	1	blue	Adygei	transparent
Adygei	HGDP01398	Europe	1	blue	Adygei	transparent
Adygei	HGDP01399	Europe	1	blue	Adygei	transparent
Adygei	HGDP01400	Europe	1	blue	Adygei	transparent
Adygei	HGDP01401	Europe	1	blue	Adygei	transparent
Adygei	HGDP01381	Europe	1	blue	Adygei	transparent
Adygei	HGDP01403	Europe	1	blue	Adygei	transparent
Adygei	HGDP01404	Europe	1	blue	Adygei	transparent
Adygei	HGDP01384	Europe	1	blue	Adygei	transparent
Adygei	HGDP01385	Europe	1	blue	Adygei	transparent
Adygei	HGDP01386	Europe	1	blue	Adygei	transparent
Adygei	HGDP01387	Europe	1	blue	Adygei	transparent
Adygei	HGDP01388	Europe	1	blue	Adygei	transparent
Adygei	HGDP01382	Europe	1	blue	Adygei	transparent
Adygei	HGDP01383	Europe	1	blue	Adygei	transparent
Balochi	HGDP00052	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00054	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00056	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00057	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00058	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00060	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00062	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00064	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00066	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00068	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00070	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00072	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00074	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00076	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00078	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00080	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00082	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00086	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00088	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00090	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00092	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00094	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00096	Central/South Asia	1	darkgreen	Balochi	transparent
Balochi	HGDP00098	Central/South Asia	1	darkgreen	Balochi	transparent
BantuKenya	HGDP01414	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01415	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01418	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01419	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01416	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01417	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01405	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01406	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01408	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01411	Africa	1	red	BantuKenya	transparent
BantuKenya	HGDP01412	Africa	1	red	BantuKenya	transparent
BantuSouthAfrica	HGDP01030	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP01034	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP00993	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP01033	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP01035	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP01031	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP00994	Africa	1	red	BantuSouthAfrica	transparent
BantuSouthAfrica	HGDP01028	Africa	1	red	BantuSouthAfrica	transparent
Basque	HGDP01362	Europe	2	blue	Basque	transparent
Basque	HGDP01359	Europe	2	blue	Basque	transparent
Basque	HGDP01364	Europe	2	blue	Basque	transparent
Basque	HGDP01361	Europe	2	blue	Basque	transparent
Basque	HGDP01377	Europe	2	blue	Basque	transparent
Basque	HGDP01363	Europe	2	blue	Basque	transparent
Basque	HGDP01357	Europe	2	blue	Basque	transparent
Basque	HGDP01366	Europe	2	blue	Basque	transparent
Basque	HGDP01367	Europe	2	blue	Basque	transparent
Basque	HGDP01358	Europe	2	blue	Basque	transparent
Basque	HGDP01376	Europe	2	blue	Basque	transparent
Basque	HGDP01360	Europe	2	blue	Basque	transparent
Basque	HGDP01374	Europe	2	blue	Basque	transparent
Basque	HGDP01375	Europe	2	blue	Basque	transparent
Basque	HGDP01365	Europe	2	blue	Basque	transparent
Basque	HGDP01378	Europe	2	blue	Basque	transparent
Basque	HGDP01379	Europe	2	blue	Basque	transparent
Basque	HGDP01380	Europe	2	blue	Basque	transparent
Basque	HGDP01371	Europe	2	blue	Basque	transparent
Basque	HGDP01368	Europe	2	blue	Basque	transparent
Basque	HGDP01369	Europe	2	blue	Basque	transparent
Basque	HGDP01370	Europe	2	blue	Basque	transparent
Basque	HGDP01372	Europe	2	blue	Basque	transparent
Basque	HGDP01373	Europe	2	blue	Basque	transparent
Bedouin	HGDP00610	Western Asia	2	darkblue	Bedouin	transparent
